id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1649,0,172.18.0.14,b4:8c:9d:5b:7f:35,b4:8c:9d,0,172.18.0.15,0c:67:14:e9:bd:9f,0c:67:14,0,132,4,0,0,1787777583920,1787778244400,660480,566,61932,1787777583920,1787778244400,660480,282,30828,1787777583920,1787778244400,660480,284,31104,SCTP,Network,0,6,,,,,
1650,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,49698,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787776988845,1787776993850,5005,2,172,1787776988845,1787776993850,5005,2,172,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1651,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,33851,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777636005,1787777636014,9,10,857,1787777636005,1787777636013,8,5,476,1787777636007,1787777636014,7,5,381,Zabbix,Network,0,6,,,,,
1652,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,51237,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777861005,1787777861015,10,10,857,1787777861005,1787777861014,9,5,476,1787777861006,1787777861015,9,5,381,Zabbix,Network,0,6,,,,,
1653,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,34356,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787777579425,1787777586608,7183,7,522,1787777579425,1787777586608,7183,7,522,0,0,0,0,0,DNS,Network,1,1,,,,,
1654,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,57305,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777586009,1787777586013,4,8,655,1787777586009,1787777586012,3,4,383,1787777586010,1787777586013,3,4,272,Zabbix,Network,0,6,,,,,
1655,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,47369,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777001005,1787777001013,8,10,857,1787777001005,1787777001012,7,5,476,1787777001006,1787777001013,7,5,381,Zabbix,Network,0,6,,,,,
1656,0,127.0.0.1,00:00:00:00:00:00,00:00:00,51710,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777664515,1787777669520,5005,4,340,1787777664515,1787777669520,5005,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1657,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,47077,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777869708,1787777869708,0,1,74,1787777869708,1787777869708,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1658,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,32881,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,1514,6,4,0,0,1787777579942,1787778248075,668133,1047,213687,1787777579942,1787778248034,668092,529,173536,1787777579943,1787778248075,668132,518,40151,Unknown,Unspecified,0,0,,,,,
1659,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,51899,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777599446,1787777599446,0,1,74,1787777599446,1787777599446,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1660,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,59535,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777001005,1787777001011,6,10,1916,1787777001005,1787777001011,6,5,1480,1787777001006,1787777001011,5,5,436,Zabbix,Network,0,6,,,,,
1661,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,36467,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777664516,1787777664516,0,1,86,1787777664516,1787777664516,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1662,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,60094,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787777874710,1787777881904,7194,7,522,1787777874710,1787777881904,7194,7,522,0,0,0,0,0,DNS,Network,1,1,,,,,
